,,,KEY COVID COMPOUNDING RISKS,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTRY,ISO3,COVID Risk,Seasonal Risk,Food Insecurity,Conflict ,Fiscal,Economic and Financial,Fragility,NatCat Risk,Institutions,FISCAL,FRAGILITY,Average Risk Score,Count Flags
(a-z),(a-z),,,,,,,,,,,,,
Tuvalu,TUV,7.9,#N/A,0.0,0.0,0.0,3.0,3.7,3.0,6.4,3.6,2.3,2.3,2.0
Uganda,UGA,7.3,2.7,2.0,0.7,0.0,4.0,7.0,4.3,6.7,3.5,3.3,3.4,4.0
Ukraine,UKR,6.6,0.0,0.0,7.0,0.0,3.7,3.9,3.2,6.4,2.6,2.9,3.0,3.0
United Arab Emirates,ARE,6.1,#N/A,0.0,0.0,0.0,3.3,1.3,4.1,2.3,3.2,1.5,1.6,1.0
United Kingdom,GBR,3.9,#N/A,0.0,0.0,0.0,3.7,2.2,2.3,2.2,2.5,1.2,1.5,1.0
United States of America,USA,3.6,#N/A,0.0,0.0,0.0,3.0,2.9,6.6,2.8,2.2,1.3,2.2,1.0
Uruguay,URY,5.9,#N/A,0.0,0.0,0.0,4.0,2.0,1.8,3.7,3.3,1.6,1.6,1.0
Uzbekistan,UZB,6.9,#N/A,0.0,0.0,0.0,3.2,2.1,5.3,4.7,3.4,1.8,2.2,2.0
Vanuatu,VUT,7.5,#N/A,0.0,0.0,0.0,7.0,4.2,5.2,5.6,4.8,2.3,3.1,4.0
Venezuela,VEN,7.9,#N/A,0.0,0.0,0.0,3.0,3.7,6.1,5.4,3.6,2.3,2.6,3.0
Viet Nam,VNM,6.2,1.1,0.0,0.0,0.0,3.0,2.2,7.3,5.0,2.6,1.6,2.3,1.0
Yemen,YEM,8.3,#N/A,8.0,10.1,0.0,4.0,8.0,4.0,8.8,4.1,6.9,6.1,6.0
Zambia,ZMB,8.1,3.5,2.0,0.0,7.0,3.3,6.0,3.4,5.0,5.5,4.4,3.8,3.0
Zimbabwe,ZWE,7.8,10.0,6.0,0.0,10.0,4.0,6.2,4.7,5.1,8.0,6.7,5.8,6.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(*) Reliability Index: 0 more reliable, 10 less reliable.",,,,,,,,,,,,,,
